,opening time,closing time,drift rate,result,trade duration (min)
128,2021-02-23 05:25:00,2021-02-23 05:30:00,50.24937810560445,profit,5.0
145,2021-03-01 04:50:00,2021-03-01 04:55:00,50.24937810560445,profit,5.0
508,2021-08-13 21:00:00,2021-08-13 21:15:00,52.20153254455275,profit,15.0
510,2021-08-14 07:15:00,2021-08-14 09:45:00,158.11388300841898,profit,150.0
549,2021-09-01 00:40:00,2021-09-01 00:55:00,52.20153254455275,profit,15.0
548,2021-08-31 20:45:00,2021-08-31 20:55:00,50.99019513592785,profit,10.0
547,2021-08-31 17:25:00,2021-08-31 17:40:00,52.20153254455275,profit,15.0
108,2021-02-14 05:15:00,2021-02-14 05:25:00,50.99019513592785,profit,10.0
545,2021-08-30 12:20:00,2021-08-30 13:15:00,74.33034373659252,profit,55.0
543,2021-08-29 00:30:00,2021-08-29 00:50:00,53.85164807134504,profit,20.0
111,2021-02-15 09:35:00,2021-02-15 09:40:00,50.24937810560445,profit,5.0
540,2021-08-27 16:40:00,2021-08-27 19:25:00,172.40939649566667,profit,165.0
538,2021-08-26 17:55:00,2021-08-26 18:20:00,55.90169943749474,profit,25.0
537,2021-08-26 14:30:00,2021-08-26 14:40:00,50.99019513592785,profit,10.0
536,2021-08-26 06:40:00,2021-08-26 07:05:00,55.90169943749474,profit,25.0
534,2021-08-25 09:35:00,2021-08-25 09:45:00,50.99019513592785,profit,10.0
533,2021-08-24 11:20:00,2021-08-24 12:00:00,64.03124237432849,profit,40.0
532,2021-08-24 01:05:00,2021-08-24 01:10:00,50.24937810560445,profit,5.0
530,2021-08-22 14:50:00,2021-08-22 15:00:00,50.99019513592785,profit,10.0
529,2021-08-21 20:45:00,2021-08-21 22:15:00,102.95630140987001,profit,90.0
528,2021-08-21 16:25:00,2021-08-21 16:30:00,50.24937810560445,profit,5.0
525,2021-08-20 19:05:00,2021-08-20 20:15:00,86.02325267042627,profit,70.0
118,2021-02-17 19:20:00,2021-02-17 19:35:00,52.20153254455275,profit,15.0
121,2021-02-19 19:55:00,2021-02-19 20:00:00,50.24937810560445,profit,5.0
518,2021-08-17 22:25:00,2021-08-17 22:30:00,50.24937810560445,profit,5.0
514,2021-08-16 19:25:00,2021-08-16 20:00:00,61.032778078668514,profit,35.0
125,2021-02-22 12:45:00,2021-02-22 12:50:00,50.24937810560445,profit,5.0
512,2021-08-15 14:40:00,2021-08-15 14:50:00,50.99019513592785,profit,10.0
126,2021-02-22 17:55:00,2021-02-22 18:00:00,50.24937810560445,profit,5.0
127,2021-02-23 01:25:00,2021-02-23 01:30:00,50.24937810560445,profit,5.0
400,2021-06-27 15:50:00,2021-06-27 16:05:00,52.20153254455275,profit,15.0
473,2021-07-31 15:10:00,2021-07-31 15:50:00,64.03124237432849,profit,40.0
471,2021-07-29 12:35:00,2021-07-29 13:10:00,61.032778078668514,profit,35.0
434,2021-07-13 04:25:00,2021-07-13 05:15:00,70.71067811865476,profit,50.0
433,2021-07-12 15:40:00,2021-07-12 16:05:00,55.90169943749474,profit,25.0
431,2021-07-11 03:10:00,2021-07-11 04:15:00,82.00609733428362,profit,65.0
430,2021-07-09 20:50:00,2021-07-09 21:40:00,70.71067811865476,profit,50.0
429,2021-07-08 20:40:00,2021-07-08 21:55:00,90.13878188659973,profit,75.0
428,2021-07-08 05:45:00,2021-07-08 06:00:00,52.20153254455275,profit,15.0
426,2021-07-07 16:25:00,2021-07-07 18:05:00,111.80339887498948,profit,100.0
424,2021-07-07 03:00:00,2021-07-07 03:35:00,61.032778078668514,profit,35.0
163,2021-03-07 11:30:00,2021-03-07 11:40:00,50.99019513592785,profit,10.0
422,2021-07-06 07:20:00,2021-07-06 08:00:00,64.03124237432849,profit,40.0
421,2021-07-06 01:55:00,2021-07-06 02:15:00,53.85164807134504,profit,20.0
164,2021-03-07 16:35:00,2021-03-07 16:50:00,52.20153254455275,profit,15.0
419,2021-07-05 04:05:00,2021-07-05 04:15:00,50.99019513592785,profit,10.0
418,2021-07-04 19:15:00,2021-07-04 21:40:00,153.37861650177967,profit,145.0
417,2021-07-04 15:35:00,2021-07-04 16:20:00,67.26812023536856,profit,45.0
416,2021-07-04 03:40:00,2021-07-04 05:45:00,134.6291201783626,profit,125.0
415,2021-07-03 17:25:00,2021-07-03 17:45:00,53.85164807134504,profit,20.0
165,2021-03-08 00:15:00,2021-03-08 00:20:00,50.24937810560445,profit,5.0
168,2021-03-09 01:15:00,2021-03-09 01:25:00,50.99019513592785,profit,10.0
410,2021-07-01 16:00:00,2021-07-01 16:05:00,50.24937810560445,profit,5.0
409,2021-07-01 09:10:00,2021-07-01 09:25:00,52.20153254455275,profit,15.0
169,2021-03-09 09:00:00,2021-03-09 09:40:00,64.03124237432849,profit,40.0
407,2021-06-30 04:40:00,2021-06-30 04:45:00,50.24937810560445,profit,5.0
404,2021-06-29 10:20:00,2021-06-29 10:35:00,52.20153254455275,profit,15.0
173,2021-03-10 13:45:00,2021-03-10 13:55:00,50.99019513592785,profit,10.0
435,2021-07-13 18:35:00,2021-07-13 19:00:00,55.90169943749474,profit,25.0
472,2021-07-31 07:45:00,2021-07-31 08:10:00,55.90169943749474,profit,25.0
436,2021-07-14 00:55:00,2021-07-14 01:10:00,52.20153254455275,profit,15.0
439,2021-07-15 08:15:00,2021-07-15 08:35:00,53.85164807134504,profit,20.0
